neighborhood,GasStations,ChargingStations
Allegheny Center,1,1
Allegheny West,0,0
Allentown,2,0
Arlington,0,0
Arlington Heights,0,0
Banksville,1,0
Bedford Dwellings,0,0
Beechview,2,0
Beltzhoover,0,0
Bloomfield,3,2
Bluff,1,0
Bon air,0,0
Brighton Heights,1,0
Brookline,5,0
California-Kirkbride,1,0
Carrick,5,0
Central Business District,0,7
Central Lawrenceville,2,0
Central Northside,0,1
Central Oakland,0,0
Chartiers City,0,0
Chateau,0,1
Crafton Heights,0,0
Crawford-Roberts,1,1
Duquesne Heights,1,0
East Allegheny,1,0
East Carnegie,0,0
East Hills,0,0
East Liberty,2,2
Elliott,2,1
Esplen,1,0
Fairywood,0,0
Fineview,0,0
Friendship,0,0
Garfield,2,0
Glen Hazel,0,0
Greenfield,2,0
Hays,0,0
Hazelwood,0,1
Highland Park,1,1
Homewood North,0,0
Homewood South,0,0
Homewood West,1,0
Knoxville,0,0
Larimer,2,3
Lincoln Place,1,0
Lincoln-Lemington-Belmar,0,0
Lower Lawrenceville,1,0
Manchester,0,0
Marshall-Shadeland,1,1
Middle Hill,1,0
Morningside,0,0
Mount Washington,3,0
Mt. Oliver,0,0
New Homestead,0,0
North Oakland,3,1
North Shore,0,2
Northview Heights,0,0
Oakwood,1,0
Overbrook,1,0
Perry North,1,0
Perry South,1,0
Point Breeze,2,0
Point Breeze North,2,0
Polish Hill,0,0
Regent Square,3,1
Ridgemont,0,0
Shadyside,3,5
Sheraden,2,0
South Oakland,2,1
South shore,1,1
South Side Flats,4,4
South Side Slopes,2,0
Spring Garden,0,0
Spring Hill-City View,1,0
Squirrel Hill North,0,1
Squirrel Hill South,3,1
St. Clair,0,0
Stanton Heights,0,0
Strip District,1,5
Summer Hill,1,0
Swisshelm Park,0,0
Terrace Village,1,0
Troy Hill,1,0
Upper Hill,0,0
Upper Lawrenceville,1,0
West End,0,0
West Oakland,0,0
Westwood,3,0
Windgap,0,0